z1,z2,z3,z4,z5,z6,z7,z8,f1,f2,f3,f4,f5,f6,AE1_latent_0,AE1_latent_1,AE1_latent_2,AE1_latent_3,AE1_latent_4,AE1_latent_5,AE1_latent_6,AE1_latent_7
5.507979026,0.685499183,5.280051952,2.510925372,3.029459472,2.811856248,6.170216233,8.801132759,197.6071034,178.9636,-2.805894865,2.52426935,94.07226946,-0.926765388,-0.7430532,1.5153292,0.5898499,0.6351015,-0.29489928,1.5604497,-0.45388392,0.12513193
7.081478226,0.764962823,6.733596406,2.37825622,1.940245024,3.35422457,7.844312336,1.34081802,180.0763274,202.4799199,102.8916388,-86.41923341,99.75716317,0.943460243,-0.089612044,0.26900142,-0.45728368,-0.5092596,1.4091837,2.1498559,-0.94956565,0.2961458
2.909047389,5.38792658,7.453658451,2.677671825,9.683566279,3.175543223,3.461612943,2.483986611,222.2277445,117.0378887,-29.69393485,52.37234941,90.48601194,-0.680258559,0.58103895,-1.4103693,0.20061362,-0.5266311,-1.208942,0.07940507,-1.1888459,0.46805984
5.108276052,0.755664045,7.29973742,2.631899264,0.794502973,5.6551063,1.026451283,8.800815358,197.9979879,169.4650559,123.9275631,-44.91648487,111.6185305,0.99810269,-1.3094585,1.2599185,-0.19354025,1.9504528,0.001801734,0.57715684,-0.8273994,1.3611529
8.929469543,1.83772318,4.241159003,9.727154867,7.85492459,6.554340203,3.612270728,5.266983866,341.166459,230.1510472,-140.4049903,3.307183761,108.5549249,-0.855042644,1.1716567,1.0028126,-1.5903367,0.1971337,-0.6084978,-0.009175349,1.4106375,0.23202378
8.962930889,4.363570842,4.559523311,7.911612519,9.472829243,8.448146224,7.880882362,4.117323634,422.9240753,232.2305865,-271.1384416,-7.465816615,94.13760089,0.710376173,2.2937589,0.45664966,-0.63385177,-0.09634712,0.181457,-0.17203754,1.0702602,-0.69938034
1.255853105,4.97782831,8.735071015,8.909107316,7.180685134,3.798983453,4.695309499,3.007269104,279.1137135,34.69464921,-345.8440172,123.2424331,22.80169466,0.987057004,-0.2237852,-1.6158108,-1.2241722,0.23755293,-1.0142946,0.004995074,-0.10053612,-0.98410213
2.072428781,5.833119152,3.627879226,7.13502895,5.744431269,9.379950355,0.201444581,2.173279987,228.136071,81.05014276,51.15738586,9.493080647,92.45917006,0.926629948,-0.2668478,-0.34452155,-1.2673366,0.03298506,0.02188969,-2.369304,-0.3866602,0.43085766
0.514672033,6.205126814,7.38032831,3.466617384,3.68953475,3.810670301,6.986054212,1.773744087,185.3401645,-56.19485375,37.33722407,60.38957786,56.71802816,-0.969084612,-0.8763465,-1.490341,0.21746843,-0.32994926,0.5113508,0.27873275,-1.2827874,-0.8119283
4.408098437,3.728114996,9.940672317,9.418534224,2.95525094,4.233452556,2.656199472,4.513492538,274.9385655,159.2101262,-85.3729641,-92.3665533,64.10229356,0.643437655,-0.8574776,-1.0169024,-1.6595601,1.3648684,-0.21137719,0.5828403,0.55300444,0.039870784
0.298762109,6.18736583,9.248083835,4.844551495,0.670960513,4.142616424,5.492183989,5.002426266,220.1693009,-110.8504524,72.59601753,138.2397349,80.03865023,-0.495579955,-1.8256781,-1.3152572,0.08842987,1.159968,0.5258614,0.32739496,-0.8009405,-0.7131298
4.568332244,1.572446584,5.492368678,1.854349398,3.788741937,7.646616511,4.257513645,0.856533712,148.6323551,159.3484675,67.79302418,-51.55159708,81.05556244,-0.112873031,0.18796565,0.33606634,-0.75581473,-0.25503808,1.11821,0.04650063,-1.7860323,0.71048546
6.491440476,2.755084754,3.051113869,7.294992196,5.029234253,7.377909134,1.963466475,7.341111482,249.7293572,197.4465488,-4.32490735,-34.16561544,102.1713458,-0.812572469,-0.061753817,1.4294081,-0.77180946,0.698204,-0.36353418,-0.766072,0.7560482,0.55165493
2.784872826,7.987182706,6.223126359,2.593050949,2.48805917,4.223454843,3.948438415,0.903019628,157.4354387,110.9026321,57.74053942,-98.01373692,57.01621834,0.370696624,-1.0499846,-1.5926679,0.38289812,-0.4594035,1.0179387,-0.22403313,-0.8414715,0.5295058
